prompt,completion
"Judging from previous posts this used to be a good place, but not any longer.","[{'term': 'place', 'polarity': 'negative'}]"
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","[{'term': 'staff', 'polarity': 'negative'}]"
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food was lousy - too sweet or too salty and the portions tiny.,"[{'term': 'food', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]"
"After all that, they complained to me about the small tip.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Avoid this place!,"[{'term': 'place', 'polarity': 'negative'}]"
"I have eaten at Saul, many times, the food is always consistently, outrageously good.","[{'term': 'food', 'polarity': 'positive'}]"
Saul is the best restaurant on Smith Street and in Brooklyn.,"[{'term': 'Saul', 'polarity': 'positive'}]"
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"[{'term': 'foie gras terrine with figs', 'polarity': 'positive'}, {'term': 'duck confit', 'polarity': 'positive'}]"
The wine list is interesting and has many good values.,"[{'term': 'wine list', 'polarity': 'positive'}]"
"For the price, you cannot eat this well in Manhattan.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I was very disappointed with this restaurant.,"[{'term': 'restaurant', 'polarity': 'negative'}]"
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[{'term': 'cart attendant', 'polarity': 'negative'}]"
I had to ask her three times before she finally came back with the dish Ive requested.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Food was okay, nothing great.","[{'term': 'Food', 'polarity': 'neutral'}]"
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"[{'term': 'Chow fun', 'polarity': 'negative'}, {'term': 'pork shu mai', 'polarity': 'negative'}]"
I/we will never go back to this place again.,"[{'term': 'place', 'polarity': 'negative'}]"
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","[{'term': 'Fish', 'polarity': 'positive'}]"
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'oysters', 'polarity': 'positive'}]"
